#,Name,Location,Type,TypeExt,Index,Description
0.01,patient(+),0;1,POINTER,,B,This is the name of the patient.
0.164,attend surg,.1;13,POINTER,,,"This is the name of the attending staff surgeon responsible for this case. This information appears on the Operation Report, Nurse Intraoperative Report, and Attending Surgeon Report."
0.165,*attending code - not used,.1;16,SET OF CODES,,,"NOTE: This field is replaced by the new ATTENDING CODE field (#.166). This is the code corresponding to the highest level of supervision provided by the attending staff surgeon for this case. This information appears in the Operation Report, Nurse Intraoperative Report, and Attending Surgeon Report. 0 The staff practitioner performs the case but may be assisted by a resident. 1 The supervising practitioner is physically present in the operative or procedural suite and directly involved in the procedure. The resident performs major portions of the procedure. 2 The supervising practitioner is physically present in the operative or procedural suite and immediately available for consultation. The supervising practitioner may observe and provide direction. The resident performs the procedure 3 The supervising practitioner is not physically present in the operative or procedural suite, but is in the facility or on the VA campus. The supervising practitioner is immediately available for resident supervision or consultation as needed. Local policy, as approved by the VISN Academic Affiliations Officer, should define the standard for ""availability"" of the supervising practitioner. NOTE: The service chief and chief of staff are responsible for periodically reviewing cases done under Level 3 supervision."
0.166,attending code,.1;10,POINTER,,,This is the code corresponding to the highest level of resident supervision provided by the attending staff surgeon for this case.
0.167,perfusionist,.1;19,POINTER,,,"This is the name of the person operating the cardio-pulmonary or organ perfusion apparatus. Although not required, this information may be valuable in documenting the case. If entered, it will appear on the Nurse Intraoperative Report."
0.168,asst perfusionist,.1;20,POINTER,,,"This is the name of the person assisting the perfusionist. If applicable, this information may be valuable in documentation of this case."
0.175,skin prep agents,.1;7,POINTER,,,"This is the type of agent used to wash and prepare the operative site. If entered, this information appears on the Nurse Intraoperative Report and is useful in documenting the case."
0.18,skin prepped by (1),.1;8,POINTER,,,"This is the name of the person responsible for applying the agent used to wash and prepare the operative site. If entered, this information will appear on the Nurse Intraoperative Report."
0.19,preop mood,.1;9,POINTER,,,"This is the preoperative assessment of the patient's emotional status upon arrival to the operating room. It may be useful in the documentation of the case. If entered, this information will appear on the Nurse Intraoperative Report."
0.195,preop converse,.1;14,SET OF CODES,,,"This is the preoperative assessment of the patient's demonstrated verbal responses upon arrival to the operating room. Although optional, this field may be valuable in documenting this case."
0.196,preop conscious,.1;15,POINTER,,,"This is the preoperative assessment of the patient's level of consciousness upon arrival to the operating room. Although optional, this information may be useful in documenting the case."
0.202,nurse present time,.2;7,DATE-TIME,,,This is the date and time that the nurse was present in the operating room. Times entered without a date will be converted to the date of operation at that time.
0.203,time pat in hold area,.2;15,DATE-TIME,,,This is the date and time that the patient arrived in the holding area. Times entered without a date will be converted to the date of operation at that time.
0.204,anes avail time,.2;8,DATE-TIME,,,"This is the date and time that the anesthetist is available to service the patient. Although optional, this information is useful for evaluating operation delays."
0.205,time pat in or,.2;10,DATE-TIME,,,This is the date and time that the patient was transported into the operation room. Times entered without a date will be converted to the date of operation at that time. NSQIP Definition (2004): Patient in Room (PIR): Time when patient enters the OR/PR.
0.206,surg present time,.2;9,DATE-TIME,,,"This is the date and time that the surgeon is available to begin the operative procedure. Although not mandatory, this information is useful for evaluating hospital delays."
0.21,anes care start time,.2;1,DATE-TIME,,,This is the date and time that the anesthesia care began. It is required as part of the anesthesia report. The definition of what constitutes the time anesthesia care begins may vary depending on local anesthesia policy. NSQIP Definition (2004): Anesthesia Start (AS): Time when a member of the anesthesia team begins preparing the patient for an anesthetic.
0.213,anes care time block,50;0,MULTIPLE,,,This is the date and time for which anesthesia care is provided.
0.214,anes care billable time flag,.2;17,BOOLEAN,,,"This field is a flag that indicates all anesthesia care time has been entered for a case. It is used in calculating the total anesthesia billable time. ""Yes"" indicates all time has been entered. ""No"" indicates time entry is not complete."
0.215,induction complete,.2;11,DATE-TIME,,,"This is the date and time that the anesthetist declares the patient ready for the start of the operative procedure. Although optional, this information may be useful in management studies."
0.218,anes care billable time,,COMPUTED,,,This is the total anesthesia care billable time in minutes. It is calculated from all time intervals entered in the multiple anesthesia start and end time fields..
0.22,time operation began,.2;2,DATE-TIME,,,"This is the date and time that the operation began. The definition of this time is usually 'knife fall', but may vary according to local surgery service protocol. NSQIP Definition (2004): Procedure/Surgery Start Time (PST): Time the procedure is begun (e.g., incision for a surgical procedure)."
0.23,time operation ends,.2;3,DATE-TIME,,,"NSQIP Definition (2004): Procedure/Surgery Finish (PF): Time when all instrument and sponge counts are completed and verified as correct; all postoperative radiological studies to be done in the OR/PR are completed; all dressings and drains are secured; and the physician/surgeons have completed all procedure-related activities on the patient. Should the patient expire in the operating room, indicate the time the patient was pronounced dead."
0.232,time pat out or,.2;12,DATE-TIME,,,"This is the date and time that the patient is taken from the operating room. Times entered without a date will be converted to the date of operation at that time. This information is very significant for operating room management studies. NSQIP Definition (2004): Patient Out of Room (POR): Time at which patient leaves OR/PR. CICSP Definition (2004): Indicate the time the patient was transported out of the operating room. If the patient dies prior to leaving the OR, then indicate the time of death for this data element."
0.234,or clean start time,.2;13,DATE-TIME,,,This is the date and time when the 'end of case' or terminal cleaning began. Times entered without a date will be converted to the date of operation at that time.
0.236,or clean end time,.2;14,DATE-TIME,,,This is the date and time when the 'end of case' or terminal cleaning ended. Times entered without a date will be converted to the date of operation at that time.
0.24,anes care end time,.2;4,DATE-TIME,,,"This is the date and time that anesthesia care ends. Its definition may vary according to local anesthesia policy. Acceptable time formats include 7:45, 745, T@7:45 and JAN 1@7:45. Times entered without a date will be converted to the date of the operation at that time. NSQIP Definition (2004): Anesthesia Finish (AF): Time at which anesthesiologist turns over care of the patient to a post anesthesia care team (either PACU or ICU)."
0.25,blood loss (ml),.2;5,NUMERIC,,,"This is the number of milliliters (0-100000) of blood estimated to be lost during the operative procedure (EBL). This information appears on the Nurse Intraoperative report, if entered."
0.255,total urine output (ml),.2;16,NUMERIC,,,"This is the total number of milliliters (0-100000) of urine output during the operative procedure. If entered, this information appears on the Nurse Intraoperative Report."
0.27,replacement fluid type,4;0,MULTIPLE,,,This is information related to the replacement fluid given intravascularly during the operative procedure.
0.28,general comments,5;0,WORD-PROCESSING,,,These are general comments about the operative procedure. Any information not provided for elsewhere can be entered here.
0.29,nursing care comments,7;0,WORD-PROCESSING,,,These are comments on this case required for documentation on the Nurse Intraoperative Report.
0.293,monitors,27;0,MULTIPLE,,,This is information related to invasive or non-invasive monitors used during this case.
0.31,princ anesthetist,.3;1,POINTER,,,"This is the name of the principal anesthesiologist or CRNA (or surgeon, if local anesthesia). This information is extremely important for the Anesthesia Report."
0.32,relief anesthetist,.3;2,POINTER,,,"This is the name of the anesthetist relieving the principal anesthetist, if applicable. If entered, this information appears on the Anesthesia Report."
0.33,asst anesthetist,.3;3,POINTER,,,"This is the name of the person assisting the principal anesthetist. If entered, this information appears on the Anesthesia Report."
0.34,anesthesiologist supvr,.3;4,POINTER,,,"This is the name of anesthesia supervisor. He or she may be the same person entered in the 'PRINC ANESTHETIST' or 'ASST ANESTHETIST' fields. This information is required if the principal anesthetist is in a training status, or CRNA."
0.345,anes supervise code,.3;6,POINTER,,,This is the code corresponding to the highest level of supervision of the anesthesiology staff supervisor. This information appears on the Anesthesia Report.
0.3511,anes personally performed,.2;19,BOOLEAN,,,Answer yes only if the anesthesiologist personally performed the entire anesthesia procedure.
0.3512,num of concurrent anes cases,.2;20,NUMERIC,,,"Including this case, enter the number of cases that the anesthesiologist supervised where the time of the anesthesia care overlapped with this care. This field is required to support billing for the care and is critical for accurate coding of the primary anesthesia procedure. Enter a zero if the anesthesiologist personally performed the care. Enter 1 if the principal anesthetist was not an anesthesiologist and was medically directed by an anesthesiologist."
0.3513,anes concurrent cases,55;0,MULTIPLE,,,This field is for information only and is not required. It will assist in correcting potential errors if a start or end time is edited since other cases could be affected by the edit.
0.3514,anes medically directed,.2;22,BOOLEAN,,,"If the principal anesthetist was other than an anesthesiologist, answer yes if an anesthesiologist supervised the care. Answering no indicates that the anesthetist was unsupervised."
0.3515,anes physician available,.2;23,BOOLEAN,,,"If the anesthetist was a resident, answer yes if the teaching physician was present during all key portions of the procedure and immediately available during the entire procedure."
0.36,min intraop temperature (c),.3;7,NUMERIC,,,"This is the lowest temperature of the patient during the operative procedure. If entered, this information will appear on the Nurse Intraoperative Report."
0.37,anesthesia technique,6;0,MULTIPLE,,,This is information about the anesthesia technique used during this case.
0.375,medications,22;0,MULTIPLE,,,This is information about medication for this case.
0.39,irrigation,26;0,MULTIPLE,,,This is information related to the irrigation solution.
0.42,other procedures,13;0,MULTIPLE,,,This is information related to procedures performed in addition to the principal procedure.
0.43,req postop care,.4;3,POINTER,,,This is the code corresponding to the location of care after the patient leaves the operating room and/or the post-anesthesia care unit.
0.44,or set-up time,.4;4,NUMERIC,,,This is the number of minutes (0-999) necessary to prepare the operating room for the admission of the patient for the surgical procedure.
0.46,op disposition,.4;6,POINTER,,,This is the destination of the patient immediately following the surgical procedure.
0.47,prosthesis installed,1;0,MULTIPLE,,,This is information related to the prosthesis used for this operative procedure.
0.48,time tourniquet applied,2;0,MULTIPLE,,,This is information related to the application of a tourniquet.
0.52,final counts verify correct,.5;1,SET OF CODES,,,This is the code corresponding to the status of the final count at the end of the surgical procedure.
0.522,verifier,.5;12,POINTER,,,"This is the person responsible for verifying that the final sponge, sharps, and instrument counts are correct at the end of this operative procedure."
0.523,*inst cnt correct,.5;10,SET OF CODES,,,Enter the code corresponding to the status of the final instrument count at the end of the surgical procedure. This field is marked for deletion.
0.525,inst cnt verf by,.5;11,POINTER,,,This is the name of the person accountable for verification of the final instrument count.
0.54,*surgery position,.5;3,POINTER,,,This field has been asterisked for deletion 18 months from the release of version 3.0 of the DHCP Surgery package. A multiple field titled SURGERY POSITION will be used in it's place.
0.55,electroground position,.5;4,POINTER,,,This is the code corresponding to the area of placement of the dispersive electrode pad.
0.56,foley catheter size,.5;5,NUMERIC,,,This is the size of the Foley catheter.
0.57,foley catheter inserted by,.5;6,POINTER,,,"This is the name of the person accountable for insertion of the Foley catheter. Although this information is optional, it may be useful in documentation of this case."
0.61,preop temperature,.6;1,NUMERIC,,,This is the most recent ward-recorded temperature of the patient prior to transport to the operating room.
0.615,preop weight (kg),.6;10,NUMERIC,,,This is the most recent ward-recorded weight of the patient prior to transport to the operating room.
0.62,preoperative heart rate,.6;2,NUMERIC,,,This is the most recent ward-recorded heart rate of the patient prior to transport to the operating room.
0.63,preop blood pressure,.6;3,FREE TEXT,,,"This is the most recent ward recorded blood pressure of the patient prior to transport to the operating room. Although optional, this information may be useful for documentation of this case."
0.64,preop respiratory rate,.6;4,NUMERIC,,,this is the most recent ward-recorded respiratory rate of the patient prior to transport to the operating room.
0.65,final anesthesia temp (c),.6;5,NUMERIC,,,"This is the temperature, in degrees centigrade, at the time of the end of anesthesia care."
0.66,postop pulse,.6;6,NUMERIC,,,This is the pulse rate of the patient upon admission to the care area immediately after the surgical procedure.
0.67,postop bp,.6;7,FREE TEXT,,,"This is the patient's blood pressure upon admission to the care area immediately after the surgical procedure. Although this information is optional, it may be useful in documentation of this case."
0.68,postop resp,.6;8,NUMERIC,,,This is the respiratory rate of the patient upon admission to the care area immediately after the surgical procedure.
0.69,valid id/consent confirmed by,.6;9,POINTER,,,"This is the name of the person verifying the patient's identification band, Social Security Number, surgical site/procedure, and the entry of a valid operative consent on the patient's record."
0.72,other preop diagnosis,14;0,MULTIPLE,,,This is information related to any diagnosis in addition to the principal preoperative diagnosis.
0.74,other postop diags,15;0,MULTIPLE,,,This is information related to any postoperative diagnosis in addition to the principal postoperative diagnosis.
0.75,electrocautery unit,.7;5,FREE TEXT,,,"This is information identifying the electrosurgical unit utilized during the operative procedure. The information may include, but is not limited to, unit number, ground pad lot number and/or expiration date, coag setting, cut setting, blend-BI:Setting and Bipolar BP:Setting. Examples: Electrocautery Unit: #7 HP206 COAG:50 CUT:50 BI:1 Electrocautery Unit: DAISY:18% or DAISY BP:18% Electrocautery Unit: VL#2 EXP 3/20/91 COAG:30 CUT:20 BI:2 #2 BP:20 (VL-VALLEYLAB)"
0.757,thermal unit,21;0,MULTIPLE,,,This is information related to the temperature controlling device.
0.76,postop skin integ,.7;6,POINTER,,,"This is the code corresponding to the assessment of the patient's skin integrity after the operative procedure. If entered, this information will appear on the Nurse Intraoperative Report."
0.77,postop skin color,.7;7,SET OF CODES,,,"This is the code corresponding to the patient's skin color after the operative procedure. If entered, this information will appear on the Nurse Intraoperative Report."
0.79,pacu disposition,.7;9,POINTER,,,This is the code corresponding to the destination of the patient immediately after release from the post-anesthesia care unit.
0.81,postop mood,.8;1,POINTER,,,"This is the code corresponding to the assessment of the patient's mood following the operative procedure. If entered, this information will appear on the Nurse Intraoperative Report."
0.82,postop convers,.8;2,SET OF CODES,,,This is the code corresponding to the assessment of the patient's demonstrated verbal responses at the completion of the surgical procedure.
0.821,postop conscious,.8;10,POINTER,,,"This is the code corresponding to the assessment of the patient's level of consciousness following the operative procedure. If entered, this information will appear on the Nurse Intraoperative Report."
0.84,end pulse,.8;4,NUMERIC,,,This is the patient's pulse rate at the end of the operative procedure.
0.85,end bp,.8;5,FREE TEXT,,,"This is the patient's systolic/diastolic blood pressure at the end of the operative procedure. Although optional, this information may be useful in documentation of this case."
0.86,end resp,.8;6,NUMERIC,,,This is the patient's rate of respiration at the end of the operative procedure. This information may be useful in documentation of this case.
0.875,packing,.8;11,SET OF CODES,,,This is the code corresponding to the type of packing placed during the procedure that will remain in place when the patient is discharged from the operating room.
0.971,patient education/assessment,.97;1,SET OF CODES,,,"This indicates whether preoperative patient education and assessment, with documentation of a care plan, were completed during the perioperative care of the patient."
0.972,consent sig&wit,.97;2,SET OF CODES,,,This indicates whether there is a properly signed and witnessed operative consent present in the patient's medical record.
0.973,bath & shampoo,.97;3,SET OF CODES,,,This indicates if the patient's preoperatively prescribed bath and shampoo were completed.
0.974,rec&xray ready,.97;4,SET OF CODES,,,This indicates whether the patient's x-rays and records are complete.
0.975,enema(s) if ord,.97;5,SET OF CODES,,,"This indicates whether the administration of preoperative enema(s) were completed, if ordered."
0.976,npo as ord/clin mid,.97;6,SET OF CODES,,,This indicates whether NPO orders were completed prior to the operative procedure as ordered by the surgeon.
0.977,*clerk chn days before,.97;7,NUMERIC,,,This field is not being used and is marked for deletion.
0.981,*verfify id tag ssn,.98;1,SET OF CODES,,,"This indicates whether the identification bracelet and social security number verification was completed, legal and correct. This field has been marked for deletion."
0.9811,care plan in chart,.98;10,SET OF CODES,,,This indicates whether the nursing care plan is present on the patient's medical record prior to transport of the patient into the operating room.
0.9812,address plate,.98;11,SET OF CODES,,,This indicates if the patient's address plate is present on the patient's medical record prior to transport to the operating room.
0.9813,patient voided,.98;12,SET OF CODES,,,This indicates whether the patient voided prior to being transported to the operating room.
0.9814,preop med&rail up,.98;13,SET OF CODES,,,This indicates whether preoperative medication was administered and the side rails of the bed were placed in the 'up' position.
0.9815,*clerk chn date procedure,.98;14,NUMERIC,,,This field has been marked for deletion. It should not be used.
0.982,prosthesis rem,.98;2,SET OF CODES,,,"This indicates whether prosthetics (dentures, jewelry, hair pieces) have been removed prior to transport to the operating room."
0.983,"cig, match & val rem",.98;3,SET OF CODES,,,"This indicates whether the patient's tobacco products, matches and valuables have been removed from his or her possession prior to being transported to the operating room."
0.984,valuables secured,.98;4,SET OF CODES,,,This indicates whether the patient's valuables have been secured according to hospital policy.
0.985,oral hygiene,.98;5,SET OF CODES,,,This indicates whether the patient's oral hygiene was completed prior to being transported to the operating room.
0.986,freshly shaved,.98;6,SET OF CODES,,,This indicates whether the patient's facial hair was freshly shaved prior to being transported to the operating room.
0.987,clean dressing,.98;7,SET OF CODES,,,This indicates if all appropriate wounds have had clean dressings applied prior to transport to the operating room.
0.988,clean hosp cloth,.98;8,SET OF CODES,,,This indicates whether the patient has clean hospital clothing prior to being transported to the operating room.
0.989,levin tube/cath,.98;9,SET OF CODES,,,This indicates whether a Levin tube/catheter is present prior to transport to the operating room.
0.991,u/a in 48 hrs,.99;1,SET OF CODES,,,This indicates whether the patient has had a urinalysis within 48 hours prior to being transported to the operating room.
0.9911,*clerk chn rec for maj surg,.99;10,NUMERIC,,,This field has been marked for deletion. It should not be used.
0.992,cbc in 48 hrs,.99;2,SET OF CODES,,,This indicates whether the patient has had a CBC within 48 hours prior to being transported to the operating room.
0.993,blood type&xmatch,.99;3,SET OF CODES,,,This indicates whether the patient has had blood typing and crossmatching done.
0.994,*bleeding & ptt time in 48 hrs,.99;4,SET OF CODES,,,This indicates whether the patient has had bleed and PTT time within 48 hours prior to being transported to the operating room. This field has been marked for deletion in the next version of the Surgery package.
0.995,*bun in 7 days,.99;5,SET OF CODES,,,This indicates whether the patient has had a BUN within 7 days prior to being transported to the operating room. This field has been marked for deletion in the next version of the Surgery package.
0.996,*blood sugar in 7 days,.99;6,SET OF CODES,,,This field determines whether the patient has had a blood sugar test within the last 7 days. This field has been marked for deletion in the next release of the Surgery software.
0.997,*serology report,.99;7,SET OF CODES,,,This field has been marked for deletion. It should not be used.
0.998,chest xray in 7 days,.99;8,SET OF CODES,,,This field determines whether the patient has had a chest x-ray within the last seven days.
0.999,ekg in 24 hrs,.99;9,SET OF CODES,,,This field determines whether the patient has had an EKG within the last 24 hours.
1.01,req anesthesia technique,1.0;1,SET OF CODES,,,This is the surgeon's choice of anesthesia for the proposed operative procedure. This information will appear on the Schedule of Operations.
1.02,req froz sect,1.0;2,BOOLEAN,,,This indicates whether laboratory support is needed to perform frozen section diagnostic tests during the operative procedure.
1.03,req preop x-ray,1.0;3,FREE TEXT,,,These are the types of preop x-ray films and reports required for delivery to the operating room prior to the surgical procedure.
1.035,intraoperative x-rays,1.0;5,SET OF CODES,,,This indicates if radiology personnel is needed in the operating room for intraoperative radiologic procedures.
1.04,req photo,1.0;4,BOOLEAN,,,This indicates whether Medical Media personnel need to be present in the operating room to obtain photographs during the operative procedure.
1.05,req blood kind,11;0,MULTIPLE,,,This is information related to the blood product required during this operative procedure.
1.052,req blood avail,1.0;9,BOOLEAN,,,This indicates whether the requested blood components are available.
1.09,wound classification,1.0;8,SET OF CODES,,,"NSQIP Definition (2004): Indicate whether the wound has been classified by the primary surgeon as: (1) Clean (C): An uninfected operative wound in which no inflammation is encountered and the respiratory, alimentary, genital, or uninfected urinary tract is not entered. In addition, clean wounds are primarily closed and, if necessary, drained with closed drainage. Operative incisional wounds that follow nonpenetrating (blunt) trauma should be included in this category if they meet the criteria. (2) Clean/Contaminated (CC): An operative wound in which the respiratory, alimentary, genital, or urinary tracts are entered under controlled conditions and without unusual contamination. Specifically, operations involving the biliary tract, appendix, vagina, and oropharynx are included in this category, provided no evidence of infection or major break in technique is encountered. (3) Contaminated (D): Open, fresh, accidental wounds. In addition, operations with major breaks in sterile technique (e.g., open cardiac massage) or gross spillage from the gastrointestinal tract, and incisions in which acute, nonpurulent inflammation is encountered, including necrotic tissue without evidence of purulent drainage (e.g. dry gangrene) are included in this category. (4) Dirty-Infected (I): Old traumatic wounds with retained devitalized tissue and those that involve existing clinical infection or perforated viscera. This definition suggests that the organisms causing postoperative infection were present in the operative field before the operation. This field should be verified and, if need be, edited postoperatively by the nurse reviewer in accordance with the official operating room log."
1.098,date/time or request made,1.0;11,DATE-TIME,,,"This is the date and time that the operation request was made. This information is automatically entered at the time of request. If the request date is changed, this field will be updated to reflect the new date/time requested."
1.099,surg sched person,1.0;10,POINTER,,,This is the name of the person requesting or scheduling this operative procedure.
1.11,pac(u) admit score,1.1;1,NUMERIC,,,This is the objective evaluation numerical score of the patient upon admission to the post anesthesia care unit.
1.12,pac(u) disch score,1.1;2,NUMERIC,,,This is the objective evaluation numeric score of the patient at discharge from the post anesthesia care unit.
1.13,asa class,1.1;3,POINTER,,,"NSQIP Definition (2004): Record the American Society of Anesthesiology (ASA) Physical Status Classification of the patient's present physical condition on a scale from 1-6 as it appears on the anesthesia record. Most likely there will be a 2nd assessment of the ASA class prior to anesthesia induction. If this is available, report this most recent assessment. The definitions are: ASA 1 - A normal healthy patient ASA 2 - A patient with mild systemic disease ASA 3 - A patient with severe systemic disease ASA 4 - A patient with severe systemic disease that is a constant threat to life ASA 5 - A moribund patient who is not expected to survive without the operation ASA 6 - A declared brain-dead patient whose organs are being removed for donor purposes ASA 6 cases should be excluded. Classification numbers followed by an 'E' indicate an emergency."
1.14,intraoperative occurrences,10;0,MULTIPLE,,,"This is information related to any intraoperative occurrences. If there are no occurrences, leave this field blank. 'NONE' is not an acceptable answer."
1.145,returned to surgery,29;0,MULTIPLE,,,This is information related to the patient's return to surgery within 30 days of a prior operative procedure.
1.15,surgeon's dictation,12;0,WORD-PROCESSING,,,This is the Surgeon's dictated operation note.
1.16,postop occurrence,16;0,MULTIPLE,,,This is information related to postoperative occurrences.
1.17,admit pac(u) time,1.1;7,DATE-TIME,,,This is the date/time that the patient was admitted to the post anesthesia care unit (recovery room). Times entered without a date will be converted to the date of operation at that time.
1.18,pac(u) disch time,1.1;8,DATE-TIME,,,This is the date/time that the patient is discharged from the post anesthesia care unit (recovery room). Times entered without a date will be converted to the date of operation at that time. NSQIP Definition (2004): Discharge from Post-Anesthesia Care Unit (DPACU): Time patient is transported out of PACU.
1.19,postop anes note date,1.1;9,DATE-TIME,,,This is the date and time that the postoperative note is written in the patient's chart. Times entered without a date will be converted to the date of operation at that time.
1.2,postop anes note,48;0,WORD-PROCESSING,,,This is the postoperative anesthesia note for this patient.
1.21,operation time,,COMPUTED,,,This is the number of minutes between the operation start and end times.
1.22,anesth induct time,,COMPUTED,,,This is the total number of minutes between the anesthesia care start and induction complete times.
1.23,anes care time,,COMPUTED,,,This is the number of minutes between the anesthesia care start time and anesthesia care end time.
1.24,patient in or time,,COMPUTED,,,This is the number of minutes the patient was in the operating room.
1.25,or clean up time,,COMPUTED,,,This is the number of minutes between the OR clean up start time and OR clean up end time.
1.26,pac(u) time,,COMPUTED,,,This is the number of minutes the patient spent in the PAC(U).
4,skin prepped by (2),.1;12,POINTER,,,"This is the name of a second person performing skin preparation, if applicable. When entered, this information appears on the Nurse Intraoperative Report."
5,skin prepped by (3),.1;17,POINTER,,,"This is the name of the third person performing the preoperative skin preparation. If entered, this information will appear on the Nurse Intraoperative Report."
6,electroground position (2),.5;13,POINTER,,,This is the code corresponding to the placement of the second dispersive electrode pad.
7,dressing condition,31;1,SET OF CODES,,,"This is the status of the drainage on the dressing. Although optional, this information may be useful in documentation of this case."
8,second skin prep agent,31;2,POINTER,,,"This is the name of the SECOND antimicrobial agent used to wash and prepare the operative site. Although optional, this information may be useful in documentation of the case."
9,time nurse out of or,31;3,DATE-TIME,,,This is the date and time that the circulating nurse completed duties for the operative procedure and left the operating room.
10,scheduled start time,31;4,DATE-TIME,,,This is the date and time that this operative procedure is scheduled to begin.
