Name,Reference,Description,Owner,Documents,Controls
AC-03.1 Access Enforcement,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-03.1 Access Enforcement"
AC-03.1 Access Enforcement,AC-03_PIV_Screen_Lock_Screenshot,AC-03_PIV_Screen_Lock_Screenshot,Badhan S. Mandal,AC-03_PIV_Screen_Lock_Screenshot.jpg,"Survey - 3-2 Access Control, question - AC-03.1 Access Enforcement"
AC-04.1 Information Flow Enforcement,VA_Handbook_6500 Appendix F,VA_Handbook_6500 Appendix F,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-04.1 Information Flow Enforcement"
AC-04.1 Information Flow Enforcement,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-04.1 Information Flow Enforcement"
AC-04.1 Information Flow Enforcement,AC-04_VA_Network_Operations_Center_-_Web_Access_Denied,AC-04_VA_Network_Operations_Center_-_Web_Access_Denied,Badhan S. Mandal,AC-04_VA_Network_Operations_Center_-_Web_Access_Denied.pdf,"Survey - 3-2 Access Control, question - AC-04.1 Information Flow Enforcement"
AC-05.1 Separation Of Duties,VA_Handbook_6500 Appendix F,VA_Handbook_6500 Appendix F,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-05.1 Separation Of Duties"
AC-05.1 Separation Of Duties,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-05.1 Separation Of Duties"
AC-05.1 Separation Of Duties,AC-5_AWS_AD_Centrify_screen_shots_v1,AC-5_AWS_AD_Centrify_screen_shots_v1,Badhan S. Mandal,AC-5_AWS_AD_Centrify_screen_shots_v1.docx,"Survey - 3-2 Access Control, question - AC-05.1 Separation Of Duties"
AC-06.1 Least Privilege,VA_Handbook_6500 Appendix F,VA_Handbook_6500 Appendix F,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-06.1 Least Privilege"
AC-06.1 Least Privilege,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-06.1 Least Privilege"
AC-06.1 Least Privilege,AC-06.1_Screenshots_of_Local_Security_Groups,AC-06.1_Screenshots_of_Local_Security_Groups,Badhan S. Mandal,AC-06.1_Screenshots_of_Local_Security_Groups.docx,"Survey - 3-2 Access Control, question - AC-06.1 Least Privilege"
AC-06.E01 Least Privilege | Authorize Access To Security Functions,AC- VA NSOC Visibility Systems Access Request SOP,AC- VA NSOC Visibility Systems Access Request SOP,Badhan S. Mandal,AC- VA NSOC Visibility Systems Access Request SOP.docx,"Survey - 3-2 Access Control, question - AC-06.E01 Least Privilege | Authorize Access To Security Functions"
AC-06.E01 Least Privilege | Authorize Access To Security Functions,VA_Handbook_6500 Appendix F,VA_Handbook_6500 Appendix F,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-06.E01 Least Privilege | Authorize Access To Security Functions"
AC-06.E01 Least Privilege | Authorize Access To Security Functions,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-06.E01 Least Privilege | Authorize Access To Security Functions"
AC-06.E02 Least Privilege | Non-Privileged Access For Nonsecurity Functions,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-06.E02 Least Privilege | Non-Privileged Access For Nonsecurity Functions"
AC-06.E03 Least Privilege | Network Access To Privileged Commands,"VA_Handbook_6500 Appendix F,","VA_Handbook_6500 Appendix F,",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-06.E03 Least Privilege | Network Access To Privileged Commands"
AC-06.E03 Least Privilege | Network Access To Privileged Commands,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-06.E03 Least Privilege | Network Access To Privileged Commands"
AC-06.E03 Least Privilege | Network Access To Privileged Commands,AC-6_EPAS_Request_with_least_privileges,AC-6_EPAS_Request_with_least_privileges,Badhan S. Mandal,AC-6_EPAS_Request_with_least_privileges.pdf,"Survey - 3-2 Access Control, question - AC-06.E03 Least Privilege | Network Access To Privileged Commands"
AC-06.E05 Least Privilege | Privileged Accounts,VA_Handbook_6500 Appendix F,VA_Handbook_6500 Appendix F,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-06.E05 Least Privilege | Privileged Accounts"
AC-06.E05 Least Privilege | Privileged Accounts,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-06.E05 Least Privilege | Privileged Accounts"
AC-06.E09 Least Privilege | Auditing Use Of Privileged Functions,AC- VA NSOC Visibility Systems Access Request SOP,AC- VA NSOC Visibility Systems Access Request SOP,Badhan S. Mandal,AC- VA NSOC Visibility Systems Access Request SOP.docx,"Survey - 3-2 Access Control, question - AC-06.E09 Least Privilege | Auditing Use Of Privileged Functions"
AC-06.E09 Least Privilege | Auditing Use Of Privileged Functions,VA_Handbook_6500 Appendix F,VA_Handbook_6500 Appendix F,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-06.E09 Least Privilege | Auditing Use Of Privileged Functions"
AC-06.E09 Least Privilege | Auditing Use Of Privileged Functions,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-06.E09 Least Privilege | Auditing Use Of Privileged Functions"
AC-06.E09 Least Privilege | Auditing Use Of Privileged Functions,AC-06.E09_Splunk_Dashboard,AC-06.E09_Splunk_Dashboard,Badhan S. Mandal,AC-02.E12_Splunk_Dashboard.jpeg,"Survey - 3-2 Access Control, question - AC-06.E09 Least Privilege | Auditing Use Of Privileged Functions"
AC-06.E10 Least Privilege | Prohibit Non-Privileged Users From Executing Privileged Functions,"VA_Handbook_6500 Appendix F,","VA_Handbook_6500 Appendix F,",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-06.E10 Least Privilege | Prohibit Non-Privileged Users From Executing Privileged Functions"
AC-06.E10 Least Privilege | Prohibit Non-Privileged Users From Executing Privileged Functions,AC-6.E10_NonPrivUserNoAccessToPrivFunction,AC-6.E10_NonPrivUserNoAccessToPrivFunction,Badhan S. Mandal,AC-6.E10_NonPrivUserNoAccessToPrivFunction.png,"Survey - 3-2 Access Control, question - AC-06.E10 Least Privilege | Prohibit Non-Privileged Users From Executing Privileged Functions"
AC-06.E10 Least Privilege | Prohibit Non-Privileged Users From Executing Privileged Functions,1_VAEC_AWS_SSP_25Apr2018,1_VAEC_AWS_SSP_25Apr2018,Badhan S. Mandal,1_VAEC_AWS_SSP_25Apr2018.pdf,"Survey - 3-2 Access Control, question - AC-06.E10 Least Privilege | Prohibit Non-Privileged Users From Executing Privileged Functions"
AC-07.1 Unsuccessful Logon Attempts,VA_Handbook_6500,VA_Handbook_6500,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-07.1 Unsuccessful Logon Attempts"
AC-08.1 System Use Notification,VAM_SDD_Document_NEW,VAM_SDD_Document_NEW,Badhan S. Mandal,VAM_SDD_Document_NEW.docx,"Survey - 3-2 Access Control, question - AC-08.1 System Use Notification"
AC-10.1 Concurrent Session Control,"VA Handbook 6500, Appendix F.","VA Handbook 6500, Appendix F.",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-10.1 Concurrent Session Control"
AC-11.1 Session Lock,VAM_SDD_Document_NEW,VAM_SDD_Document_NEW,Badhan S. Mandal,VAM_SDD_Document_NEW.docx,"Survey - 3-2 Access Control, question - AC-11.1 Session Lock"
AC-11.E01 Session Lock | Pattern-Hiding Displays,VAM_SDD_Document_NEW,VAM_SDD_Document_NEW,Badhan S. Mandal,VAM_SDD_Document_NEW.docx,"Survey - 3-2 Access Control, question - AC-11.E01 Session Lock | Pattern-Hiding Displays"
AC-12.1 Session Termination,AC-12.1_Session_Termination.jpg,AC-12.1_Session_Termination.jpg,Badhan S. Mandal,AC-12.1_Session_Termination.jpg,"Survey - 3-2 Access Control, question - AC-12.1 Session Termination"
AC-12.1 Session Termination,AC-12_Windows_session_lock_evidence,AC-12_Windows_session_lock_evidence,Badhan S. Mandal,AC-12_Windows_session_lock_evidence.docx,"Survey - 3-2 Access Control, question - AC-12.1 Session Termination"
AC-14.1 Permitted Actions Without Identification Or Authentication,VAM_AC_Policy_Procedures,VAM_AC_Policy_Procedures,Badhan S. Mandal,VAM_AC_Policy_Procedures.docx,"Survey - 3-2 Access Control, question - AC-14.1 Permitted Actions Without Identification Or Authentication"
AC-17.1 Remote Access,PIV_Logon_Screen,PIV_Logon_Screen,Badhan S. Mandal,IA-02_PIV_Logon_Screen.jpg,"Survey - 3-2 Access Control, question - AC-17.1 Remote Access"
AC-17.1 Remote Access,CAG_PIV_LOGIN_Part_Two,CAG_PIV_LOGIN_Part_Two,Badhan S. Mandal,IA-2.E01_CAG_PIV_LOGIN_Part_Two.png,"Survey - 3-2 Access Control, question - AC-17.1 Remote Access"
AC-17.1 Remote Access,VPN_Evidence,VPN_Evidence,Badhan S. Mandal,IA-2.E11_VPN_Evidence.docx,"Survey - 3-2 Access Control, question - AC-17.1 Remote Access"
AC-17.1 Remote Access,VA_NSOC_System_Monitoring,VA_NSOC_System_Monitoring,Badhan S. Mandal,CM-8.E03_VA_NSOC_System_Monitoring.docx,"Survey - 3-2 Access Control, question - AC-17.1 Remote Access"
AC-17.E01 Remote Access | Automated Monitoring / Control,VA_NSOC_System_Monitoring,VA_NSOC_System_Monitoring,Badhan S. Mandal,SC-05.1_VA_NSOC_System_Monitoring.docx,"Survey - 3-2 Access Control, question - AC-17.E01 Remote Access | Automated Monitoring / Control"
AC-17.E01 Remote Access | Automated Monitoring / Control,VA_NSOC_Monitoring,VA_NSOC_Monitoring,Badhan S. Mandal,SI-04.1_VA_NSOC_Monitoring.jpg,"Survey - 3-2 Access Control, question - AC-17.E01 Remote Access | Automated Monitoring / Control"
AC-17.E01 Remote Access | Automated Monitoring / Control,Splunk_Dashboard,Splunk_Dashboard,Badhan S. Mandal,AC-02.E12_Splunk_Dashboard.jpeg,"Survey - 3-2 Access Control, question - AC-17.E01 Remote Access | Automated Monitoring / Control"
AC-17.E02 Remote Access | Protection Of Confidentiality / Integrity Using Encryption,VA Handbook 6500 Appendix F.,VA Handbook 6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-17.E02 Remote Access | Protection Of Confidentiality / Integrity Using Encryption"
AC-17.E03 Remote Access | Managed Access Control Points,Trusted_Internet_Connections_TIC_08072015,Trusted_Internet_Connections_TIC_08072015,Badhan S. Mandal,SC-7.E3_255_Trusted_Internet_Connections_TIC_08072015.pdf,"Survey - 3-2 Access Control, question - AC-17.E03 Remote Access | Managed Access Control Points"
AC-17.E03 Remote Access | Managed Access Control Points,VA_NSOC_SCCM_TIC_Screenshot,VA_NSOC_SCCM_TIC_Screenshot,Badhan S. Mandal,SI-02.E02_VA_NSOC_SCCM_TIC_Screenshot.docx,"Survey - 3-2 Access Control, question - AC-17.E03 Remote Access | Managed Access Control Points"
AC-17.E04 Remote Access | Privileged Commands / Access,VA_SDM_ticketing_system_screenshot_evidence,VA_SDM_ticketing_system_screenshot_evidence,Badhan S. Mandal,AC-2E2__VA_SDM_ticketing_system_screenshot_evidence.docx,"Survey - 3-2 Access Control, question - AC-17.E04 Remote Access | Privileged Commands / Access"
AC-17.E04 Remote Access | Privileged Commands / Access,VA Handbook 6500 Appendix F,VA Handbook 6500 Appendix F,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-17.E04 Remote Access | Privileged Commands / Access"
AC-18.1 Wireless Access,Control Not Applicable,Control Not Applicable,Badhan S. Mandal,Control Not Applicable.txt,"Survey - 3-2 Access Control, question - AC-18.1 Wireless Access"
AC-18.E01 Wireless Access | Authentication And Encryption,Control Not Applicable document,Control Not Applicable document,Badhan S. Mandal,,"Survey - 3-2 Access Control, question - AC-18.E01 Wireless Access | Authentication And Encryption"
AC-18.E04 Wireless Access | Restrict Configurations By Users,This control is N/A,This control is N/A,Badhan S. Mandal,Control Not Applicable.txt,"Survey - 3-2 Access Control, question - AC-18.E04 Wireless Access | Restrict Configurations By Users"
AC-18.E05 Wireless Access | Antennas / Transmission Power Levels,Control Not Applicable document,Control Not Applicable document,Badhan S. Mandal,Control Not Applicable.txt,"Survey - 3-2 Access Control, question - AC-18.E05 Wireless Access | Antennas / Transmission Power Levels"
AC-19.1 Access Control For Mobile Devices,Control Not Applicable document,Control Not Applicable document,Badhan S. Mandal,Control Not Applicable.txt,"Survey - 3-2 Access Control, question - AC-19.1 Access Control For Mobile Devices"
AC-19.E05 Access Control For Mobile Devices | Full Device / Container-Based Encryption,Control Not Applicable,Control Not Applicable,Badhan S. Mandal,Control Not Applicable.txt,"Survey - 3-2 Access Control, question - AC-19.E05 Access Control For Mobile Devices | Full Device / Container-Based Encryption"
AC-20.1 Use Of External Information Systems,VA Handbook 6500 Appendix F.,VA Handbook 6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-20.1 Use Of External Information Systems"
AC-20.E01 Use Of External Information Systems | Limits On Authorized Use,VA Handbook 6500 Appendix F.,VA Handbook 6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-20.E01 Use Of External Information Systems | Limits On Authorized Use"
AC-20.E02 Use Of External Information Systems | Portable Storage Devices,VA Handbook 6500 Appendix F.,VA Handbook 6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-20.E02 Use Of External Information Systems | Portable Storage Devices"
AC-21.1 Information Sharing,VA Handbook 6500 Appendix F.,VA Handbook 6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-21.1 Information Sharing"
AC-22.1 Publicly Accessible Content,VA Handbook 6500 Appendix F.,VA Handbook 6500 Appendix F.,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Access Control, question - AC-22.1 Publicly Accessible Content"
AT-01.1 Security Awareness And Training Policy And Procedures,VA Directive 6330,VA Directive 6330,Badhan S. Mandal,VA Directive 6330.pdf,"Survey - 3-2 Awareness and Training, question - AT-01.1 Security Awareness And Training Policy And Procedures"
AT-01.1 Security Awareness And Training Policy And Procedures,VA Handbook 6330,VA Handbook 6330,Badhan S. Mandal,VA Handbook 6330.pdf,"Survey - 3-2 Awareness and Training, question - AT-01.1 Security Awareness And Training Policy And Procedures"
AT-01.1 Security Awareness And Training Policy And Procedures,VA_Handbook_6500,VA_Handbook_6500,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Awareness and Training, question - AT-01.1 Security Awareness And Training Policy And Procedures"
AT-01.1 Security Awareness And Training Policy And Procedures,VAM_AT_Policy_Procedures,VAM_AT_Policy_Procedures,Badhan S. Mandal,VAM_AT_Policy_Procedures.docx,"Survey - 3-2 Awareness and Training, question - AT-01.1 Security Awareness And Training Policy And Procedures"
AT-01.1 Security Awareness And Training Policy And Procedures,FSS_SOP_0007_AT_Awareness_and_Training_April_2016,FSS_SOP_0007_AT_Awareness_and_Training_April_2016,Badhan S. Mandal,FSS_SOP_0007_AT_Awareness_and_Training_April_2016.pdf,"Survey - 3-2 Awareness and Training, question - AT-01.1 Security Awareness And Training Policy And Procedures"
AT-01.1 Security Awareness And Training Policy And Procedures,VA_Awareness and Training_SOP,VA_Awareness and Training_SOP,Badhan S. Mandal,VA_Awareness and Training_SOP.pdf,"Survey - 3-2 Awareness and Training, question - AT-01.1 Security Awareness And Training Policy And Procedures"
AT-02.1 Security Awareness Training,VA_Handbook_6500,VA_Handbook_6500,Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Awareness and Training, question - AT-02.1 Security Awareness Training"
AT-02.1 Security Awareness Training,AT-02_TMS_Learning_History_Report,AT-02_TMS_Learning_History_Report,Badhan S. Mandal,AT-02_TMS_Learning_History_Report.pdf,"Survey - 3-2 Awareness and Training, question - AT-02.1 Security Awareness Training"
AT-02.1 Security Awareness Training,AT-2_Role_Based_Training_,AT-2_Role_Based_Training_,Badhan S. Mandal,AT-2_Role_Based_Training_.pdf,"Survey - 3-2 Awareness and Training, question - AT-02.1 Security Awareness Training"
AT-02.1 Security Awareness Training,VA_Awareness and Training_SOP,VA_Awareness and Training_SOP,Badhan S. Mandal,VA_Awareness and Training_SOP.pdf,"Survey - 3-2 Awareness and Training, question - AT-02.1 Security Awareness Training"
AT-02.E02 Practical Exercises | Insider Threat,"VA Handbook 6500, Appendix F","VA Handbook 6500, Appendix F",Badhan S. Mandal,VA_Handbook_6500.pdf,"Survey - 3-2 Awareness and Training, question - AT-02.E02 Practical Exercises | Insider Threat"
