mpog_concept_type_description,concept_desc,mpog_concept_type_id,mpog_concept_id
Laboratory or Testing Observations,"Formal lab - Lipase, Serum",5,5055
Laboratory or Testing Observations,Formal lab - White Blood Cell Count,5,5056
Laboratory or Testing Observations,"Formal lab - Albumin, Serum",5,5057
Laboratory or Testing Observations,"Formal lab - Calcium (Total), Serum",5,5058
Laboratory or Testing Observations,Formal lab - Total Cholesterol,5,5059
Laboratory or Testing Observations,Formal lab - HDL Cholesterol,5,5060
Laboratory or Testing Observations,Formal lab - LDL Cholesterol,5,5061
Laboratory or Testing Observations,"Formal lab - Protein (Total), Serum",5,5062
Laboratory or Testing Observations,"Formal lab - HCG, Serum",5,5063
Laboratory or Testing Observations,"Formal lab - HCG, Urine",5,5064
Laboratory or Testing Observations,"Formal lab - B-type natriuretic peptide, Serum",5,5065
Laboratory or Testing Observations,"Formal lab - Osmolality, Serum",5,5066
Laboratory or Testing Observations,Formal lab - Triglycerides,5,5067
Laboratory or Testing Observations,Formal lab - C-reactive protein,5,5068
Laboratory or Testing Observations,Formal lab - Phenytoin (total) level,5,5069
Laboratory or Testing Observations,Formal lab - Digoxin level,5,5070
Laboratory or Testing Observations,Formal lab - Phenytoin (free fraction) level,5,5071
Laboratory or Testing Observations,"Formal lab - Ethanol level, serum",5,5072
Laboratory or Testing Observations,"Formal lab - Phosporus, serum",5,5073
Laboratory or Testing Observations,Formal lab - Lactate Dehydrogenase,5,5074
Laboratory or Testing Observations,POC - Blood gas - FiO2,5,5075
Laboratory or Testing Observations,Formal lab - Blood gas - FiO2,5,5076
Laboratory or Testing Observations,Formal lab - Blood bank antibody screen interpretation,5,5077
Laboratory or Testing Observations,Formal lab - Blood bank ABO Rh type interpretation,5,5078
Laboratory or Testing Observations,Formal lab - Activated Clotting Time,5,5079
Laboratory or Testing Observations,Formal lab - Blood gas - Hemoglobin,5,5080
Laboratory or Testing Observations,POC - Blood gas - Hemoglobin,5,5081
Laboratory or Testing Observations,Formal lab - Blood gas - O2 sat measured (arterial),5,5082
Laboratory or Testing Observations,Formal lab - Blood gas - O2 sat measured (venous),5,5083
Laboratory or Testing Observations,POC - Blood gas - O2 sat measured (arterial),5,5084
Laboratory or Testing Observations,POC - Blood gas - O2 sat measured (venous),5,5085
Laboratory or Testing Observations,Formal lab - Blood gas - Lactate (arterial),5,5086
Laboratory or Testing Observations,Formal lab - Blood gas - Base Excess (arterial),5,5087
Laboratory or Testing Observations,Formal lab - Blood gas - Base Excess (venous),5,5088
Laboratory or Testing Observations,Formal lab - Free T4,5,5089
Laboratory or Testing Observations,Formal lab - Free T3,5,5090
Laboratory or Testing Observations,Formal lab - Parathyroid hormone,5,5091
Laboratory or Testing Observations,Formal lab - Miscellaneous Sendout,5,5092
Staffing Types,Staff Level - Anesthesia Attending,6,6000
Staffing Types,Staff Level - Anesthesia Resident CA1,6,6001
Staffing Types,Staff Level - Anesthesia Resident CA2,6,6002
Staffing Types,Staff Level - Anesthesia Resident CA3,6,6003
Staffing Types,Staff Level - Anesthesia Resident - Unspecified Year,6,6004
Staffing Types,Staff Level - Anesthesia CRNA,6,6005
Staffing Types,Staff Level - Surgical Attending (primary),6,6006
Staffing Types,Staff Level - Surgical Resident,6,6007
Staffing Types,Staff Level - Preop Nurse,6,6008
Staffing Types,Staff Level - Postop Nurse,6,6009
Staffing Types,Staff Level - Anesthesia Assistant,6,6010
Staffing Types,Staff Level - Student RNA,6,6011
Staffing Types,Staff Level - Surgical Attending (secondary),6,6012
Staffing Types,Staff Level - Anesthesia Technician,6,6013
Staffing Types,Staff Level - Anesthesia Fellow,6,6014
Staffing Types,Staff Level - Unknown,6,6999
Preoperative Observations,Unmapped Preop Concept,7,70000
Preoperative Observations,Airway - Mallampati Score -- Unspecified Exam Position,7,70001
Preoperative Observations,Airway - Freetext Comments,7,70002
Preoperative Observations,Airway - Dentition,7,70003
Preoperative Observations,Airway - Hyoid to Mentum,7,70004
Preoperative Observations,Airway - Jaw Protrusion,7,70005
Preoperative Observations,Airway - Mallampati Score -- Full Neck Extension,7,70006
Preoperative Observations,Airway - Mallampati Score -- Neutral Neck Position,7,70007
Preoperative Observations,Airway - Beard,7,70008
Preoperative Observations,Airway - Mouth Opening,7,70009
Preoperative Observations,Airway - Neck circumference (cm),7,70010
Preoperative Observations,Airway - Neck circumference (in),7,70011
Preoperative Observations,Airway - Snoring,7,70012
Preoperative Observations,Airway - Other,7,70013
Preoperative Observations,General - Allergies,7,70020
Preoperative Observations,General - Allergies Latex,7,70021
Preoperative Observations,General - Birth History,7,70023
Preoperative Observations,Cardiovascular - Arrhythmia,7,70024
Preoperative Observations,Cardiovascular - Congenital Heart Disease,7,70025
Preoperative Observations,Cardiovascular - Congestive Heart Failure,7,70026
Preoperative Observations,Cardiovascular - Coronary Artery Disease,7,70027
Preoperative Observations,Cardiovascular - Endocarditis,7,70028
Preoperative Observations,Cardiovascular - Exercise Tolerance,7,70029
Preoperative Observations,Cardiovascular - Family Hx CAD,7,70030
Preoperative Observations,Cardiovascular - Hypertension,7,70031
Preoperative Observations,Cardiovascular - ICD / Pacer,7,70032
Preoperative Observations,Cardiovascular - Myocardial Infarction,7,70033
Preoperative Observations,Cardiovascular - Other,7,70034
Preoperative Observations,Cardiovascular - Pacemaker only,7,70035
Preoperative Observations,Cardiovascular - Pulmonary Hypertension,7,70036
Preoperative Observations,Cardiovascular - PVOD,7,70037
Preoperative Observations,Cardiovascular - Right Heart Failure,7,70038
Preoperative Observations,ID - Sepsis,7,70039
Preoperative Observations,Cardiovascular - Symptoms,7,70040
Preoperative Observations,Cardiovascular - Thoracic Aorta Disease,7,70041
Preoperative Observations,Cardiovascular - Valvular Disease,7,70042
Preoperative Observations,Cardiovascular - Venous Disease,7,70043
Preoperative Observations,Pain - Chronic Pain,7,70044
Preoperative Observations,Endocrine - Adrenal Dysfunction,7,70045
Preoperative Observations,Endocrine - Diabetes,7,70046
Preoperative Observations,Endocrine - Other,7,70047
Preoperative Observations,Endocrine - Parathyroid Dysfunction,7,70048
Preoperative Observations,Endocrine - Thyroid Dysfunction,7,70049
Preoperative Observations,General - Family History of Anesthetic Problems,7,70050
Preoperative Observations,GI - GERD,7,70051
Preoperative Observations,GI - Liver Disease,7,70052
Preoperative Observations,GI - Liver MELD Score,7,70053
Preoperative Observations,GI - Other,7,70054
Preoperative Observations,GI - Pancreatitis,7,70055
Preoperative Observations,GI - Symptoms,7,70056
Preoperative Observations,Renal / Urologic - Signs and Symptoms,7,70057
Preoperative Observations,Renal / Urologic - Electrolyte Abnormality,7,70058
Preoperative Observations,Renal / Urologic - Other,7,70059
Preoperative Observations,Renal / Urologic - Renal Failure,7,70060
Preoperative Observations,Airway - Neck anatomy,7,70062
Preoperative Observations,ID - HIV / AIDS,7,70063
Preoperative Observations,Hematologic - Bleeding Disorder,7,70064
Preoperative Observations,Hematologic - Deep venous thrombosis,7,70066
Preoperative Observations,Hematologic - Malignancy,7,70068
Preoperative Observations,Hematologic - Other,7,70069
Preoperative Observations,Hematologic - Previous Transfusion History,7,70070
Preoperative Observations,General  - History of Present Illness,7,70071
Preoperative Observations,Testing - Laboratory values,7,70072
Preoperative Observations,General - Medications - Anticoagulation,7,70073
Preoperative Observations,General - Medications - Anticoagulation Indication,7,70074
Preoperative Observations,General - Medications - Beta Blocker,7,70075
Preoperative Observations,General - Medications - Chronic Steroid Use,7,70076
Preoperative Observations,General - Medications - Current,7,70077
Preoperative Observations,General - Medications - Herbal / Alternative,7,70078
Preoperative Observations,General - Medications - New Meds,7,70079
Preoperative Observations,General - Previous Anesthetic Problem,7,70080
Preoperative Observations,General - Medications - Infusions,7,70081
Preoperative Observations,Musculoskeletal - Osteoarthritis,7,70082
Preoperative Observations,Airway - Cervical spine,7,70083
Preoperative Observations,Musculoskeletal - Other,7,70084
Preoperative Observations,Neuro - Cerebral Aneurysm,7,70085
Preoperative Observations,Neuro - Cerebrovascular Diseaes,7,70086
Preoperative Observations,Neuro - CNS Tumor,7,70087
Preoperative Observations,Neuro - Cerebrovascular Accident,7,70088
Preoperative Observations,Neuro - Dementia,7,70089
Preoperative Observations,Neuro - Other,7,70090
Preoperative Observations,Neuro - Peripheral Nerve Disease,7,70091
Preoperative Observations,Neuro - Psychiatric Diease,7,70092
Preoperative Observations,Neuro - Seizures,7,70093
Preoperative Observations,Neuro - Symptoms,7,70094
Preoperative Observations,Cardiovascular - Visceral Arterial Disease,7,70095
Preoperative Observations,Obstetrics / Gyn - Last Normal Menstrual Period Date,7,70096
Preoperative Observations,Obstetrics / Gyn - Pregnancy History,7,70097
Preoperative Observations,Obstetrics / Gyn - Pregnant,7,70098
Preoperative Observations,Assessment and Plan - Special Anesthesia Techiques planned,7,70099
Preoperative Observations,Misc - Malignancy (Solid or Hematologic),7,70100
Preoperative Observations,Misc - Solid Organ Malignancy Metastasis,7,70101
Preoperative Observations,Misc - Motion Sickness,7,70102
Preoperative Observations,Misc - Nausea Car,7,70103
Preoperative Observations,General - Past Hospitalizations,7,70104
Preoperative Observations,General -Past Surgery History,7,70105
Preoperative Observations,Pediatrics - Congenital Syndrome,7,70106
Preoperative Observations,Pediatrics - CP Spasticity,7,70107
Preoperative Observations,General - Previous Intraop Record Information,7,70108
Preoperative Observations,Respiratory - Asthma General,7,70109
Preoperative Observations,Respiratory - Asthma Class,7,70110
Preoperative Observations,Respiratory - Asthma ER Visits,7,70111
Preoperative Observations,Respiratory - Asthma Hospitalizations,7,70112
Preoperative Observations,Respiratory - Asthma Medications,7,70113
Preoperative Observations,Respiratory - Asthma Symptom Frequency,7,70114
Preoperative Observations,Respiratory - COPD General,7,70115
Preoperative Observations,Respiratory - Hemothorax,7,70116
Preoperative Observations,Respiratory - Other,7,70117
Preoperative Observations,Respiratory - Pleural Effusion,7,70118
Preoperative Observations,Respiratory - Pneumothorax,7,70119
Preoperative Observations,Respiratory - Pulmonary Contusion,7,70120
Preoperative Observations,Respiratory - Restrictive Lung Disease,7,70121
Preoperative Observations,Respiratory - Sleep Apnea,7,70122
Preoperative Observations,Respiratory - Symptoms,7,70123
